address,district
双阳支路38弄,杨浦区
唐山路1018号,杨浦区
武川路9号,杨浦区
杨树浦路2866号,杨浦区
闸殷路155号,杨浦区
政旦东路8号,杨浦区
政立路489号,杨浦区
政修路3号,杨浦区
安达路288号,宝山区
宝安公路8号,宝山区
长江西路581弄,宝山区
长江西路1371号,宝山区
福双路56弄,宝山区
抚远路283弄,宝山区
富锦路1218号,宝山区
富锦路1368弄,宝山区
富桥路89号,宝山区
富杨路389号,宝山区
钢四路88号,宝山区
共和新路5380弄,宝山区
共祥路688号,宝山区
共祥路889号,宝山区
顾北路39弄,宝山区
顾北路680弄,宝山区
韩家湾101号,宝山区
行知路50弄,宝山区
鹤岗路31号,宝山区
虎林路18号,宝山区
沪太路1765弄,宝山区
沪太路6058弄,宝山区
金塘路1号,宝山区
锦伟路639号,宝山区
罗盛路588号,宝山区
南汀路33号,宝山区
潘广路148号,宝山区
潘泾路238弄,宝山区
潘泾路1225号,宝山区
潘泾路1245号,宝山区
盘古路538号,宝山区
乾溪路300弄,宝山区
上大路278号,宝山区
水产路2199弄,宝山区
塔虹路169号,宝山区
泰和路1171弄,宝山区
泰和路1500号,宝山区
泰和西路3390弄,宝山区
铁峰路259号,宝山区
铁山路6号,宝山区
铁山路149号,宝山区
通南路394号,宝山区
同济路1111弄,宝山区
杨泰路236号,宝山区
杨泰路268弄,宝山区
逸仙路4000号,宝山区
友谊路2449号,宝山区
园泰北路918号,宝山区
园泰路396号,宝山区
月川路98号,宝山区
蕰川路4515号,宝山区
蕰川路5350弄,宝山区
北吴路489号,闵行区
繁安路600号,闵行区
富强街71号,闵行区
光中路351号,闵行区
恒德花苑,闵行区
江鹏路632号,闵行区
龙吴路5161号,闵行区
罗阳东三村,闵行区
七莘路2888号,闵行区
三鲁路4381号,闵行区
水清路992号,闵行区
闸航路2589弄,闵行区
召楼路2266弄,闵行区
昌吉路231弄,嘉定区
陈翔公路2288弄,嘉定区
陈翔公路699号,嘉定区
城中路285号,嘉定区
春浓路33号,嘉定区
德力西路168号,嘉定区
丰功路968号,嘉定区
高潮路695号,嘉定区
沪宜公路2516号,嘉定区
嘉新公路835弄,嘉定区
嘉行公路3757弄,嘉定区
金沙江路2733号,嘉定区
金沙江路3131号,嘉定区
金通路1968弄,嘉定区
金运路199弄,嘉定区
金运路666号,嘉定区
科盛路1051号,嘉定区
立新路35号,嘉定区
立新路80弄A区,嘉定区
胜利街123号,嘉定区
胜利街175弄,嘉定区
胜利街189弄,嘉定区
胜利街195弄,嘉定区
亚钢路最西侧工地,嘉定区
园汽路90号,嘉定区
震川路17号,嘉定区
横塘桥村,松江区
沪松公路2516号,松江区
沪松公路3023号,松江区
联营路333弄,松江区
卖新公路1028号,松江区
彭家村,松江区
三新北路900弄,松江区
松沪公路2511弄,松江区
新飞路1756号,松江区
新飞路901号,松江区
新飞路961号,松江区
影城路47号,松江区
云恩路59弄,松江区
高光路479号,青浦区
光联路,青浦区
光联一路诸光路,青浦区
龙联路239号,青浦区
龙联路259号,青浦区
蟠龙路68号,青浦区
蟠龙路蟠秀路,青浦区
蟠秀路282号,青浦区
谢卫路258弄,青浦区
新凤中路1800弄,青浦区
盈港东路1389号,青浦区
盈港东路诸光路,青浦区
育才路华徐公路,青浦区
朱枫公路38号,青浦区
诸光路495号,青浦区
诸光路光联路,青浦区
海旗路1518号,奉贤区
金海公路3265号,奉贤区
肖塘路255弄,奉贤区
分别居住于：,金山区
祝新村,浦东新区
新浏村,嘉定区
鹤沙村,浦东新区
北孔家路23弄,黄浦区
兰棠景苑,嘉定区
田旺村,嘉定区
资料：各区卫健委,崇明区
编辑：林欣,崇明区
文章已于2022-03-19修改,崇明区
微信扫一扫,崇明区
关注该公众号,崇明区
项隶村,浦东新区
沿中居委,崇明区
